platform,post_title,engagement_score
PTT home-sale,Re: [閒聊] 房貸轉貸分享,100
PTT home-sale,Re: [心得] 房板今天出什麼大事了？,100
PTT home-sale,[閒聊] 第二屋五成變六成,100
PTT BabyMother,[寶寶] 矯齡3M的寶寶今日手術求集氣,100
PTT BabyMother,[寶寶] 老公對小孩說的話 讓我感到噁心與憤怒,100
PTT BabyMother,Re: [請益] 大家對代孕的看法？,100
PTT BabyMother,Re: [請益] 大家對代孕的看法？,100
PTT BabyMother,[專區] 尋求群組集中文,100
PTT BabyMother,[心得] 談少子化 應該正視育兒現場,100
PTT BabyMother,[連署] 放寬看板討論年齡至6歲（上小學前）,100
PTT BabyMother,兩歲小孩被要求分享自己帶出去的玩具,100
PTT CareerPlan,[討論] 宅男的退休生活閒聊 (2025上),100
PTT home-sale,[閒聊] 年輕人及其家庭還有多少資源可壓榨？,99
PTT BabyMother,[請益] 大家對代孕的看法？,98
PTT BabyMother,[心得] 老婆好像產後憂鬱了覺得後悔生小孩,98
PTT BabyMother,[寶寶] 適合0歲以上聽的20張古典音樂專輯,98
PTT home-sale,Re: [閒聊] 知名網紅看天龍國看到破防,98
PTT BabyMother,[懷孕] 想知道35週左右的孕婦情況,93
PTT BabyMother,[心得] 幼兒園入學攻略懶人包分享,93
PTT CareerPlan,[討論] 宅男的退休生活閒聊 (2025中),79
PTT CareerPlan,Re: [請益] 24歲廢物男的未來該怎麼走（求大力鞭）,78
PTT BabyMother,[寶寶] BLW的必要性,77
PTT home-sale,[閒聊] 買不起的人最後都會開始唱空嗎,76
PTT home-sale,[新聞] 新青安2.0來了？1／新青安改版方案曝 為,76
PTT home-sale,Re: [新聞] 楊金龍呼籲建商讓利 不希望見到房市硬著,75
PTT home-sale,[閒聊] 鬆綁外籍幫傭是不是房價利多？,75
PTT BabyMother,心情 育嬰留停小孩送托嬰錯了嗎？,74
PTT home-sale,Re: [閒聊] 先求有再求好～,74
PTT BabyMother,[寶寶] 2歲男寶想改名,73
PTT home-sale,Re: [閒聊] 房貸轉貸分享,71
PTT home-sale,Re: [心得] 房板今天出什麼大事了？,69
PTT home-sale,[閒聊] 知名網紅看天龍國看到破防,69
PTT BabyMother,[新聞] 全台首創！北市爸媽「日減1小時工時」補,68
PTT BabyMother,[寶寶] 爸爸該怎麼做？,67
PTT BabyMother,[請益] 小孩衣服到底要多少?覺得太太被衣服綁架,65
PTT home-sale,Re: [新聞] 楊金龍呼籲建商讓利 不希望見到房市硬著,63
PTT BabyMother,Re: [心情] 新手爸爸跟另一半相處的困境,60
PTT home-sale,Re: [閒聊] 房價跌了，那生育率有提高嗎？,59
PTT home-sale,[請益] 賣方要求先動用履保資金跟半年後交屋,58
PTT BabyMother,[寶寶] 買嬰兒床的必要性,58
PTT home-sale,[新聞] 史上最慘寒冬！人效、店效創20年新低 房,57
